name,birth_date,birth_card,enwiki_views_8mo,slug
Leandro Paredes,1994-06-29,A♣,1158481,leandro-paredes-birth-card
Vinícius Júnior,2000-07-12,3♦,1156774,vinícius-júnior-birth-card
Hannah Einbinder,1995-05-21,J♣,1154946,hannah-einbinder-birth-card
Deniz Undav,1996-07-19,9♣,1154312,deniz-undav-birth-card
Emma D'Arcy,1992-06-27,3♣,1153924,emma-darcy-birth-card
Megan Fox,1986-05-16,3♦,1153845,megan-fox-birth-card
Alysa Liu,2005-08-08,5♦,1150124,alysa-liu-birth-card
Brandon Clarke,1996-09-19,5♣,1143860,brandon-clarke-birth-card
Patrick Muldoon,1968-09-27,10♥,1143241,patrick-muldoon-birth-card
Jack White,1975-07-09,6♦,1142869,jack-white-birth-card
Rafael Nadal,1986-06-03,A♠,1142548,rafael-nadal-birth-card
Jane Fonda,1937-12-21,10♥,1142351,jane-fonda-birth-card
Ethan Hawke,1970-11-06,A♦,1142174,ethan-hawke-birth-card
Jared Kushner,1981-01-10,4♠,1138282,jared-kushner-birth-card
Adam Sandler,1966-09-09,2♦,1137629,adam-sandler-birth-card
Ilia Topuria,1997-01-21,6♦,1133510,ilia-topuria-birth-card
Josh Hokit,1997-11-12,8♣,1132908,josh-hokit-birth-card
Bryan Cranston,1956-03-07,3♠,1128854,bryan-cranston-birth-card
Didier Deschamps,1968-10-15,7♣,1127430,didier-deschamps-birth-card
Alexandria Ocasio-Cortez,1989-10-13,9♣,1125702,alexandria-ocasio-cortez-birth-card
James Rodríguez,1991-07-12,3♦,1125381,james-rodríguez-birth-card
Monica Barbaro,1990-06-17,K♣,1121903,monica-barbaro-birth-card
Robert Lewandowski,1988-08-21,5♣,1119320,robert-lewandowski-birth-card
Zoe Saldaña,1978-06-19,J♣,1116155,zoe-saldaña-birth-card
Barry Keoghan,1992-10-17,5♣,1113005,barry-keoghan-birth-card
Blake Lively,1987-08-25,A♣,1108364,blake-lively-birth-card
Ben Affleck,1972-08-15,J♣,1107506,ben-affleck-birth-card
Jayden Adams,2001-05-05,A♠,1106200,jayden-adams-birth-card
Sharvari,1996-06-14,3♦,1102632,sharvari-birth-card
Mahatma Gandhi,1869-10-02,7♦,1102261,mahatma-gandhi-birth-card
Taylor Dearden,1993-02-12,K♦,1098926,taylor-dearden-birth-card
Christa Pike,1976-03-10,K♦,1098768,christa-pike-birth-card
Djed Spence,2000-08-09,4♦,1098172,djed-spence-birth-card
Jensen Huang,1963-02-17,8♦,1097555,jensen-huang-birth-card
Steve Hilton,1969-08-25,A♣,1097019,steve-hilton-birth-card
Dharmendra Pradhan,1969-06-26,4♣,1096045,dharmendra-pradhan-birth-card
Mahmoud Ahmadinejad,1956-10-28,7♥,1092672,mahmoud-ahmadinejad-birth-card
Mitch Johnson,1986-11-29,4♥,1092573,mitch-johnson-birth-card
Oscar Isaac,1979-03-09,A♠,1091926,oscar-isaac-birth-card
Andoni Iraola,1982-06-22,8♣,1089750,andoni-iraola-birth-card
James Handy,1945-03-19,4♦,1089690,james-handy-birth-card
Hudson Williams,2001-02-13,Q♦,1085744,hudson-williams-birth-card
Anna Faris,1976-11-29,4♥,1085061,anna-faris-birth-card
Barron Trump,2006-03-20,3♦,1084059,barron-trump-birth-card
Shia LaBeouf,1986-06-11,6♦,1083575,shia-labeouf-birth-card
Al Pacino,1940-04-25,9♣,1081765,al-pacino-birth-card
Diogo Jota,1996-12-04,A♦,1074678,diogo-jota-birth-card
Katherine LaNasa,1966-12-01,4♦,1071176,katherine-lanasa-birth-card
David Harbour,1975-04-10,J♦,1070897,david-harbour-birth-card
Tom Hardy,1977-09-15,9♣,1070825,tom-hardy-birth-card
Alexandra Eala,2005-05-23,9♣,1070646,alexandra-eala-birth-card
Nikki Rodriguez,1992-03-07,3♠,1070494,nikki-rodriguez-birth-card
Jack Nicholson,1937-04-22,Q♣,1070404,jack-nicholson-birth-card
Brendan Fraser,1968-12-03,2♦,1067633,brendan-fraser-birth-card
Emma Thomas,1971-12-09,9♣,1067082,emma-thomas-birth-card
Dylan Harper,2006-03-02,8♠,1060712,dylan-harper-birth-card
Armie Hammer,1986-08-28,J♥,1056715,armie-hammer-birth-card
Suki Waterhouse,1992-01-05,9♠,1055819,suki-waterhouse-birth-card
Mel Gibson,1956-01-03,J♠,1053716,mel-gibson-birth-card
Keri Russell,1976-03-23,K♣,1051325,keri-russell-birth-card
Ester Expósito,2000-01-26,A♦,1046062,ester-expósito-birth-card
Kylie Minogue,1968-05-28,4♣,1045739,kylie-minogue-birth-card
Achraf Hakimi,1998-11-04,3♦,1042907,achraf-hakimi-birth-card
Jake Bongiovi,2002-05-07,Q♦,1040393,jake-bongiovi-birth-card
Jamie Vardy,1987-01-11,3♠,1039089,jamie-vardy-birth-card
Hero Fiennes Tiffin,1997-11-06,A♦,1037198,hero-fiennes-tiffin-birth-card
Stefon Diggs,1993-11-29,4♥,1033423,stefon-diggs-birth-card
Raghav Chadha,1988-11-11,9♣,1032482,raghav-chadha-birth-card
Emiliano Martínez,1992-09-01,10♦,1028881,emiliano-martínez-birth-card
Catherine O'Hara,1954-03-04,6♠,1028415,catherine-ohara-birth-card
Tom Brady,1977-08-03,10♦,1028291,tom-brady-birth-card
Carlo Ancelotti,1959-06-10,7♦,1028235,carlo-ancelotti-birth-card
Sanju Samson,1994-11-11,9♣,1024331,sanju-samson-birth-card
Nico Williams,2002-07-12,3♦,1023586,nico-williams-birth-card
Jeremy Clarkson,1960-04-11,10♦,1021982,jeremy-clarkson-birth-card
Sarah Shahi,1980-01-10,4♠,1020316,sarah-shahi-birth-card
Alexis Mac Allister,1998-12-24,7♥,1013033,alexis-mac-allister-birth-card
Enzo Fernández,2001-01-17,10♦,1012345,enzo-fernández-birth-card
James Van Der Beek,1977-03-08,2♠,1011618,james-van-der-beek-birth-card
Donald Trump Jr.,1977-12-31,Joker,1009830,donald-trump-jr-birth-card
Andrew Cuomo,1957-12-06,Q♣,1008903,andrew-cuomo-birth-card
Alexander Hamilton,1757-01-11,3♠,1007630,alexander-hamilton-birth-card
Timothy Olyphant,1968-05-20,Q♣,1005635,timothy-olyphant-birth-card
Marjorie Taylor Greene,1974-05-27,5♣,1004802,marjorie-taylor-greene-birth-card
Antoine Griezmann,1991-03-21,2♦,1004037,antoine-griezmann-birth-card
Justin Trudeau,1971-12-25,6♥,1003523,justin-trudeau-birth-card
Rupert Murdoch,1931-03-11,Q♦,1002406,rupert-murdoch-birth-card
Emmy Rossum,1986-09-12,Q♣,1001857,emmy-rossum-birth-card
Sandra Hüller,1978-04-30,4♣,1001775,sandra-hüller-birth-card
Rosamund Pike,1979-01-27,K♣,1001310,rosamund-pike-birth-card
Jeremy Hansen,1976-01-27,K♣,1000421,jeremy-hansen-birth-card
Pierce Brosnan,1953-05-16,3♦,998561,pierce-brosnan-birth-card
Alexander Isak,1999-09-21,3♣,997707,alexander-isak-birth-card
Joshua Kushner,1985-06-12,5♦,997608,joshua-kushner-birth-card
Aileen Wuornos,1956-02-29,9♣,994603,aileen-wuornos-birth-card
Shai Gilgeous-Alexander,1998-07-12,3♦,991655,shai-gilgeous-alexander-birth-card
Jack Antonoff,1984-03-31,5♣,991518,jack-antonoff-birth-card
Thomas Massie,1971-01-13,A♠,988094,thomas-massie-birth-card
Jamie Lee Curtis,1958-11-22,J♥,982968,jamie-lee-curtis-birth-card
Shelley Fabares,1944-01-19,8♦,981364,shelley-fabares-birth-card
Chris Hansen,1959-09-13,J♣,981308,chris-hansen-birth-card
Diane Keaton,1946-01-05,9♠,981163,diane-keaton-birth-card
Abigail Spanberger,1979-08-07,6♦,979406,abigail-spanberger-birth-card
Liam Neeson,1952-06-07,10♦,979214,liam-neeson-birth-card
Robert Napper,1966-02-25,K♣,975762,robert-napper-birth-card
John Candy,1950-10-31,4♥,969121,john-candy-birth-card
Himesh Patel,1990-10-13,9♣,965776,himesh-patel-birth-card
Xi Jinping,1953-06-15,2♦,965446,xi-jinping-birth-card
Raúl Jiménez,1991-05-05,A♠,964728,raúl-jiménez-birth-card
Viktor Orbán,1963-05-31,A♣,963780,viktor-orbán-birth-card
Diane Ladd,1935-11-29,4♥,963720,diane-ladd-birth-card
Alexander Skarsgård,1976-08-25,A♣,963176,alexander-skarsgård-birth-card
"Prince Edward, Duke of Kent",1935-10-09,K♣,960904,prince-edward-duke-of-kent-birth-card
AJ Lee,1987-03-19,4♦,960684,aj-lee-birth-card
Claude Lemieux,1965-07-16,Q♣,956162,claude-lemieux-birth-card
Troy Parrott,2002-02-04,8♠,954894,troy-parrott-birth-card
Vanessa Kirby,1988-04-18,3♦,953759,vanessa-kirby-birth-card
Lena Dunham,1986-05-13,6♦,953552,lena-dunham-birth-card
Selena Gomez,1992-07-22,6♣,951272,selena-gomez-birth-card
Jared Leto,1971-12-26,5♥,946276,jared-leto-birth-card
Justin Theroux,1971-08-10,3♦,942255,justin-theroux-birth-card
Justin Gaethje,1988-11-14,6♣,941672,justin-gaethje-birth-card
Stephen Colbert,1964-05-13,6♦,940565,stephen-colbert-birth-card
Andy Weir,1972-06-16,A♦,938438,andy-weir-birth-card
Alf-Inge Haaland,1972-11-23,10♥,933243,alf-inge-haaland-birth-card
Christopher Abbott,1986-02-01,J♠,931352,christopher-abbott-birth-card
Lionel Scaloni,1978-05-16,3♦,928899,lionel-scaloni-birth-card
La Toya Jackson,1956-05-29,3♣,925910,la-toya-jackson-birth-card
Caitlin Clark,2002-01-22,5♦,924976,caitlin-clark-birth-card
Serena Williams,1981-09-26,J♥,922916,serena-williams-birth-card
Anthony Joshua,1989-10-15,7♣,921960,anthony-joshua-birth-card
Ejae,1991-12-06,Q♣,920732,ejae-birth-card
Cameron Diaz,1972-08-30,9♥,919260,cameron-diaz-birth-card
Luke Grimes,1984-01-21,6♦,917418,luke-grimes-birth-card
Josh Brolin,1968-02-12,K♦,911451,josh-brolin-birth-card
Anthony Fauci,1940-12-24,7♥,911064,anthony-fauci-birth-card
Xavier Becerra,1958-01-26,A♦,909590,xavier-becerra-birth-card
Josh Allen,1996-05-21,J♣,909108,josh-allen-birth-card
Félix Auger-Aliassime,2000-08-08,5♦,907936,félix-auger-aliassime-birth-card
Gary Oldman,1958-03-21,2♦,906188,gary-oldman-birth-card
Jennifer Garner,1972-04-17,4♦,904404,jennifer-garner-birth-card
Anna Wintour,1949-11-03,4♦,899973,anna-wintour-birth-card
Jude Law,1972-12-29,2♥,896848,jude-law-birth-card
Bruce Springsteen,1949-09-23,A♣,896225,bruce-springsteen-birth-card
Kimberly Guilfoyle,1969-03-09,A♠,893847,kimberly-guilfoyle-birth-card
Dennis Rader,1945-03-09,A♠,893384,dennis-rader-birth-card
Alexi Lalas,1970-06-01,3♠,887514,alexi-lalas-birth-card
Dianna Russini,1983-02-11,A♠,885203,dianna-russini-birth-card
Reza Pahlavi,1960-10-31,4♥,884172,reza-pahlavi-birth-card
David Jonsson,1993-09-04,7♦,883717,david-jonsson-birth-card
Zack Polanski,1982-11-02,5♦,880146,zack-polanski-birth-card
Milo Yiannopoulos,1984-10-18,4♣,879915,milo-yiannopoulos-birth-card
Geena Davis,1956-01-21,6♦,876743,geena-davis-birth-card
David Allan Coe,1939-09-06,5♦,873460,david-allan-coe-birth-card
Chappell Roan,1998-02-19,6♦,872565,chappell-roan-birth-card
Smriti Mandhana,1996-07-18,10♣,872284,smriti-mandhana-birth-card
Brittany Snow,1986-03-09,A♠,868954,brittany-snow-birth-card
Sheryl Underwood,1963-10-28,7♥,868740,sheryl-underwood-birth-card
Ronda Rousey,1987-02-01,J♠,864951,ronda-rousey-birth-card
Mikie Sherrill,1972-01-19,8♦,860195,mikie-sherrill-birth-card
Victor Glover,1976-04-30,4♣,859405,victor-glover-birth-card
Camila Morrone,1997-06-16,A♦,858954,camila-morrone-birth-card
Jenna Ortega,2002-09-27,10♥,858494,jenna-ortega-birth-card
Horst Wessel,1907-10-09,K♣,855305,horst-wessel-birth-card
Olivia Munn,1980-07-03,Q♦,854125,olivia-munn-birth-card
Brittany Murphy,1977-11-10,10♣,853210,brittany-murphy-birth-card
Steve Carell,1962-08-16,10♣,849972,steve-carell-birth-card
Tom Read Wilson,1986-11-12,8♣,849142,tom-read-wilson-birth-card
Tommy Robinson,1982-11-27,6♥,848873,tommy-robinson-birth-card
Antony Starr,1975-10-25,10♥,848630,antony-starr-birth-card
Alison Brie,1982-12-29,2♥,847426,alison-brie-birth-card
Emilio Estevez,1962-05-12,7♦,846194,emilio-estevez-birth-card
Dan Hurley,1973-01-16,J♦,845503,dan-hurley-birth-card
Pablo Escobar,1949-12-01,4♦,844827,pablo-escobar-birth-card
Assata Shakur,1947-07-16,Q♣,843725,assata-shakur-birth-card
Penélope Cruz,1974-04-28,6♣,843322,penélope-cruz-birth-card
Stephon Castle,2004-11-01,6♦,841626,stephon-castle-birth-card
Luca Zidane,1998-05-13,6♦,840445,luca-zidane-birth-card
Angela Rayner,1980-03-28,8♣,839116,angela-rayner-birth-card
Jimmy Tatro,1992-02-16,9♦,837515,jimmy-tatro-birth-card
Wyatt Russell,1986-07-10,5♦,837252,wyatt-russell-birth-card
Saddam Hussein,1937-04-28,6♣,835891,saddam-hussein-birth-card
Hillel Slovak,1962-04-13,8♦,833216,hillel-slovak-birth-card
Bradley Cooper,1975-01-05,9♠,832255,bradley-cooper-birth-card
Rami Malek,1981-05-12,7♦,828729,rami-malek-birth-card
Antonela Roccuzzo,1988-02-26,Q♣,825645,antonela-roccuzzo-birth-card
S. Janaki,1938-04-23,J♣,823140,s-janaki-birth-card
Britney Spears,1981-12-02,3♦,822842,britney-spears-birth-card
Martin Short,1950-03-26,10♣,822351,martin-short-birth-card
Cooper Tomlinson,1999-01-11,3♠,820416,cooper-tomlinson-birth-card
Tony Hinchcliffe,1984-06-08,9♦,820145,tony-hinchcliffe-birth-card
Lauren Bennett,1989-06-23,7♣,818581,lauren-bennett-birth-card
Quentin Tarantino,1963-03-27,9♣,815096,quentin-tarantino-birth-card
Aaron Rodgers,1983-12-02,3♦,813187,aaron-rodgers-birth-card
Keiko Fujimori,1975-05-25,7♣,813186,keiko-fujimori-birth-card
Ruby Wax,1953-04-19,2♦,813122,ruby-wax-birth-card
Hema Malini,1948-10-16,6♣,812640,hema-malini-birth-card
Shabana Mahmood,1980-09-17,7♣,810704,shabana-mahmood-birth-card
Pau Cubarsí,2007-01-22,5♦,807050,pau-cubarsí-birth-card
Nitish Kumar,1951-03-01,9♠,805158,nitish-kumar-birth-card
J. J. McCarthy,2003-01-20,7♦,803570,j-j-mccarthy-birth-card
Alfred Molina,1953-05-24,8♣,803541,alfred-molina-birth-card
Kate Mara,1983-02-27,J♣,801272,kate-mara-birth-card
Lola Van Wagenen,1938-12-12,6♣,801036,lola-van-wagenen-birth-card
Jackie Jackson,1951-05-04,2♠,800287,jackie-jackson-birth-card
Rashmika Mandanna,1996-04-05,3♠,799573,rashmika-mandanna-birth-card
Dominic Holland,1967-05-06,K♦,798642,dominic-holland-birth-card
Daryl Hannah,1960-12-03,2♦,796480,daryl-hannah-birth-card
Linda Cardellini,1975-06-25,5♣,795063,linda-cardellini-birth-card
Jimmy Carter,1924-10-01,8♦,792576,jimmy-carter-birth-card
Louis Theroux,1970-05-20,Q♣,792447,louis-theroux-birth-card
Luis Suárez,1987-01-24,3♦,790551,luis-suárez-birth-card
Ranveer Singh,1985-07-06,9♦,789573,ranveer-singh-birth-card
William the Conqueror,1028-11-08,Q♣,788900,william-the-conqueror-birth-card
Ilyas Kashmiri,1964-02-10,2♠,787470,ilyas-kashmiri-birth-card
Miles Teller,1987-02-20,5♦,787458,miles-teller-birth-card
Stevie Nicks,1948-05-26,6♣,786638,stevie-nicks-birth-card
Tom Steyer,1957-06-27,3♣,786011,tom-steyer-birth-card
Megan Lawless,2000-04-11,10♦,785699,megan-lawless-birth-card
Juno Temple,1989-07-21,7♣,785146,juno-temple-birth-card
Barbra Streisand,1942-04-24,10♣,784859,barbra-streisand-birth-card
Jennifer Runyon,1960-04-01,7♠,783251,jennifer-runyon-birth-card
Edwin Schlossberg,1945-07-19,9♣,782483,edwin-schlossberg-birth-card
Clive Davis,1932-04-04,4♠,779499,clive-davis-birth-card
Wes Streeting,1983-01-21,6♦,778164,wes-streeting-birth-card
Uzair Baloch,1979-01-11,3♠,777936,uzair-baloch-birth-card
Isa Briones,1999-01-17,10♦,774459,isa-briones-birth-card
Darline Graham,1964-06-12,5♦,771966,darline-graham-birth-card
Rose Schlossberg,1988-06-25,5♣,770974,rose-schlossberg-birth-card
Preity Mukhundhan,2001-07-30,J♥,770407,preity-mukhundhan-birth-card
Karl Urban,1972-06-07,10♦,769804,karl-urban-birth-card
Arch Manning,2005-04-27,7♣,768653,arch-manning-birth-card
M. K. Stalin,1953-03-01,9♠,768542,m-k-stalin-birth-card
Mariska Hargitay,1964-01-23,4♦,767536,mariska-hargitay-birth-card
Rebbie Jackson,1950-05-29,3♣,764616,rebbie-jackson-birth-card
Liza Minnelli,1946-03-12,J♦,761339,liza-minnelli-birth-card
Jensen Ackles,1978-03-01,9♠,760152,jensen-ackles-birth-card
Gaspi,2002-12-28,3♥,759659,gaspi-birth-card
Jack Quaid,1992-04-24,10♣,757514,jack-quaid-birth-card
Rachel Weisz,1970-03-07,3♠,756955,rachel-weisz-birth-card
Ali Larter,1976-02-28,10♣,754135,ali-larter-birth-card
Wyndham Clark,1993-12-09,9♣,753861,wyndham-clark-birth-card
Giannis Antetokounmpo,1994-12-06,Q♣,752523,giannis-antetokounmpo-birth-card
Linda Nosková,2004-11-17,3♣,751755,linda-nosková-birth-card
Xabi Alonso,1981-11-25,8♥,751560,xabi-alonso-birth-card
Rick Pitino,1952-09-18,6♣,750202,rick-pitino-birth-card
Courtney Stodden,1994-08-29,10♥,750092,courtney-stodden-birth-card
Antonio Cipriano,2000-05-13,6♦,745419,antonio-cipriano-birth-card
Christos Tzolis,2002-01-30,10♣,742383,christos-tzolis-birth-card
John Travolta,1954-02-18,7♦,741795,john-travolta-birth-card
Ismael Saibari,2001-01-28,Q♣,741785,ismael-saibari-birth-card
Guillermo del Toro,1964-10-09,K♣,741152,guillermo-del-toro-birth-card
Kevin De Bruyne,1991-06-28,2♣,740635,kevin-de-bruyne-birth-card
Jesse Plemons,1988-04-02,6♠,740435,jesse-plemons-birth-card
Wayne Rooney,1985-10-24,J♥,740387,wayne-rooney-birth-card
Shawn Hatosy,1975-12-29,2♥,737350,shawn-hatosy-birth-card
Sushila Karki,1952-06-07,10♦,735859,sushila-karki-birth-card
Richard Burton,1925-11-10,10♣,734434,richard-burton-birth-card
Heidi Montag,1986-09-15,9♣,733041,heidi-montag-birth-card
Natalia Dyer,1995-01-13,A♠,731780,natalia-dyer-birth-card
Ryan Coogler,1986-05-23,9♣,728450,ryan-coogler-birth-card
Roberto Martínez,1973-07-13,2♦,727891,roberto-martínez-birth-card
Calvin Klein,1942-11-19,A♣,727231,calvin-klein-birth-card
Marjane Satrapi,1969-11-22,J♥,725334,marjane-satrapi-birth-card
Antonio Nusa,2005-04-17,4♦,722362,antonio-nusa-birth-card
Julián Alvarez,2000-01-31,9♣,721871,julián-alvarez-birth-card
Eric Lefkofsky,1969-09-13,J♣,718262,eric-lefkofsky-birth-card
Lily Allen,1985-05-02,4♠,717677,lily-allen-birth-card
Amanda Peet,1972-01-11,3♠,716787,amanda-peet-birth-card
Jimmy Savile,1926-10-31,4♥,716672,jimmy-savile-birth-card
Rod Stewart,1945-01-10,4♠,714229,rod-stewart-birth-card
Geetu Mohandas,1981-02-14,J♦,713907,geetu-mohandas-birth-card
Malik Tillman,2002-05-28,4♣,711978,malik-tillman-birth-card
Charlie Heaton,1994-02-06,6♠,710542,charlie-heaton-birth-card
Diego Simeone,1970-04-28,6♣,709125,diego-simeone-birth-card
Regina Hall,1970-12-12,6♣,708237,regina-hall-birth-card
Mary Steenburgen,1953-02-08,4♠,707006,mary-steenburgen-birth-card
Mirra Andreeva,2007-04-29,5♣,705309,mirra-andreeva-birth-card
Stephen King,1947-09-21,3♣,704832,stephen-king-birth-card
Liam Rosenior,1984-07-09,6♦,701990,liam-rosenior-birth-card
Helen Mirren,1945-07-26,2♣,701804,helen-mirren-birth-card
Yassine Bounou,1991-04-05,3♠,701081,yassine-bounou-birth-card
Cole Hauser,1975-03-22,A♦,700689,cole-hauser-birth-card
Ryan Wedding,1981-09-14,10♣,700166,ryan-wedding-birth-card
Kelly Brook,1979-11-23,10♥,699644,kelly-brook-birth-card
Corey Lewandowski,1973-09-18,6♣,697678,corey-lewandowski-birth-card
Oleksandr Usyk,1987-01-17,10♦,695658,oleksandr-usyk-birth-card
Kumail Nanjiani,1978-05-02,4♠,694977,kumail-nanjiani-birth-card
Brock Lesnar,1977-07-12,3♦,694767,brock-lesnar-birth-card
Cleto Escobedo III,1966-08-23,3♣,694335,cleto-escobedo-iii-birth-card
Lola Tung,2002-10-28,7♥,693740,lola-tung-birth-card
Elaine Chao,1953-03-26,10♣,692723,elaine-chao-birth-card
Maya Hawke,1998-07-08,7♦,692444,maya-hawke-birth-card
K. Bhagyaraj,1953-01-07,7♠,691208,k-bhagyaraj-birth-card
Bharathiraja,1941-07-17,J♣,687692,bharathiraja-birth-card
Marlon Jackson,1957-03-12,J♦,687409,marlon-jackson-birth-card
Palash Muchhal,1995-05-22,10♣,686953,palash-muchhal-birth-card
Sean Strickland,1991-02-27,J♣,685886,sean-strickland-birth-card
Vogue Williams,1985-10-02,7♦,683944,vogue-williams-birth-card
Usha Vance,1986-01-06,8♠,683524,usha-vance-birth-card
Lindsey Halligan,1989-07-21,7♣,680660,lindsey-halligan-birth-card
Spencer Cox,1975-07-11,4♦,680551,spencer-cox-birth-card
Sombr,2005-07-05,10♦,680237,sombr-birth-card
V. D. Satheesan,1964-05-31,A♣,679756,v-d-satheesan-birth-card
Reese Witherspoon,1976-03-22,A♦,675096,reese-witherspoon-birth-card
Josh Hart,1995-03-06,4♠,674528,josh-hart-birth-card
Judith Barsi,1978-06-06,J♦,674216,judith-barsi-birth-card
Carey Mulligan,1985-05-28,4♣,674170,carey-mulligan-birth-card
Camila Mendes,1994-06-29,A♣,672442,camila-mendes-birth-card
Yoshinobu Yamamoto,1998-08-17,9♣,671564,yoshinobu-yamamoto-birth-card
Peter Mandelson,1953-10-21,A♣,671108,peter-mandelson-birth-card
Elaine Hendrix,1970-12-28,3♥,671020,elaine-hendrix-birth-card
Dan Caine,1968-08-10,3♦,670016,dan-caine-birth-card
Rod Brind'Amour,1970-08-09,4♦,668700,rod-brindamour-birth-card
Sebastián Beccacece,1980-12-17,A♣,668077,sebastián-beccacece-birth-card
Patrick Mahomes,1995-09-17,7♣,666022,patrick-mahomes-birth-card
Carlos Boozer,1981-11-20,K♥,665821,carlos-boozer-birth-card
Greta Lee,1983-03-07,3♠,665779,greta-lee-birth-card
Mel Brooks,1926-06-28,2♣,665542,mel-brooks-birth-card
Tyriq Withers,1998-07-15,K♣,665055,tyriq-withers-birth-card
Denise Richards,1971-02-17,8♦,663541,denise-richards-birth-card
Manuel Neuer,1986-03-27,9♣,661776,manuel-neuer-birth-card
Maja Chwalińska,2001-10-11,J♣,661078,maja-chwalińska-birth-card
Dónal Finn,1995-08-31,8♥,660473,dónal-finn-birth-card
Bradley Barcola,2002-09-02,9♦,659578,bradley-barcola-birth-card
Lucy Davis,1973-02-17,8♦,659442,lucy-davis-birth-card
Enzo Maresca,1981-02-10,2♠,656586,enzo-maresca-birth-card
Corey Feldman,1971-07-16,Q♣,656481,corey-feldman-birth-card
Natalie Alyn Lind,1999-06-21,9♣,656237,natalie-alyn-lind-birth-card
Shane Gillis,1987-12-11,7♣,655895,shane-gillis-birth-card
Mikel Arteta,1982-03-26,10♣,655502,mikel-arteta-birth-card
Kaitlin Olson,1975-08-18,8♣,655340,kaitlin-olson-birth-card
Yasin Ayari,2003-10-06,3♦,654780,yasin-ayari-birth-card
Laura Ingalls Wilder,1867-02-07,5♠,651763,laura-ingalls-wilder-birth-card
Uwe Boll,1965-06-22,8♣,651720,uwe-boll-birth-card
Louis Partridge,2003-06-03,A♠,650834,louis-partridge-birth-card
Youri Tielemans,1997-05-07,Q♦,650145,youri-tielemans-birth-card
Chelsea Handler,1975-02-25,K♣,650125,chelsea-handler-birth-card
Warren Jeffs,1955-12-03,2♦,649563,warren-jeffs-birth-card
Afroman,1974-07-28,K♥,646936,afroman-birth-card
Mary Shelley,1797-08-30,9♥,646908,mary-shelley-birth-card
Vivian Wilson,2004-04-15,6♦,645543,vivian-wilson-birth-card
Ted Kaczynski,1942-05-22,10♣,644835,ted-kaczynski-birth-card
Stephen Eustáquio,1996-12-21,10♥,644159,stephen-eustáquio-birth-card
Muammar Gaddafi,1942-06-19,J♣,643434,muammar-gaddafi-birth-card
Granit Xhaka,1992-09-27,10♥,641937,granit-xhaka-birth-card
Joe Keery,1992-04-24,10♣,639232,joe-keery-birth-card
N'Golo Kanté,1991-03-29,7♣,637829,ngolo-kanté-birth-card
Renate Reinsve,1987-11-24,9♥,635510,renate-reinsve-birth-card
Stellan Skarsgård,1951-06-13,4♦,635079,stellan-skarsgård-birth-card
Bam Adebayo,1997-07-18,10♣,633699,bam-adebayo-birth-card
Marty Reisman,1930-02-01,J♠,633532,marty-reisman-birth-card
Peabo Bryson,1951-04-13,8♦,632061,peabo-bryson-birth-card
Andrés Escobar,1967-03-13,10♦,630903,andrés-escobar-birth-card
Winona Ryder,1971-10-29,6♥,630614,winona-ryder-birth-card
Tomer Capone,1985-07-15,K♣,630583,tomer-capone-birth-card
David Hockney,1937-07-09,6♦,629950,david-hockney-birth-card
Emma Thompson,1959-04-15,6♦,628684,emma-thompson-birth-card
Unai Simón,1997-06-11,6♦,627594,unai-simón-birth-card
Ethan Slater,1992-06-02,2♠,627145,ethan-slater-birth-card
Pauline Collins,1940-09-03,8♦,624824,pauline-collins-birth-card
Luis Enrique,1970-05-08,J♦,621993,luis-enrique-birth-card
Christina Applegate,1971-11-25,8♥,621610,christina-applegate-birth-card
CM Punk,1978-10-26,9♥,621213,cm-punk-birth-card
Ethel Kennedy,1928-04-11,10♦,620911,ethel-kennedy-birth-card
Kaká,1982-04-22,Q♣,620910,kaká-birth-card
Jesse Marsch,1973-11-08,Q♣,620776,jesse-marsch-birth-card
Benjamin Guinness,1798-11-01,6♦,619786,benjamin-guinness-birth-card
John Fetterman,1969-08-15,J♣,618217,john-fetterman-birth-card
Nikki Glaser,1984-06-01,3♠,617638,nikki-glaser-birth-card
Jordan Pickford,1994-03-07,3♠,617542,jordan-pickford-birth-card
Kristen Bell,1980-07-18,10♣,617148,kristen-bell-birth-card
Charles Sobhraj,1944-04-06,2♠,616675,charles-sobhraj-birth-card
Benson Boone,2002-06-25,5♣,616366,benson-boone-birth-card
Guillermo Ochoa,1985-07-13,2♦,615043,guillermo-ochoa-birth-card
Brenda Song,1988-03-27,9♣,614950,brenda-song-birth-card
Richard Attenborough,1923-08-29,10♥,614861,richard-attenborough-birth-card
Harlan Coben,1962-01-04,10♠,614763,harlan-coben-birth-card
Ana de Armas,1988-04-30,4♣,614733,ana-de-armas-birth-card
Clayton Kershaw,1988-03-19,4♦,614266,clayton-kershaw-birth-card
Shah Rukh Khan,1965-11-02,5♦,613339,shah-rukh-khan-birth-card
Kalyani Priyadarshan,1992-04-05,3♠,612784,kalyani-priyadarshan-birth-card
Francesca Hong,1988-11-04,3♦,612460,francesca-hong-birth-card
Richard Gere,1949-08-31,8♥,612326,richard-gere-birth-card
Franco Baresi,1960-05-08,J♦,611712,franco-baresi-birth-card
Julia Garner,1994-02-01,J♠,611143,julia-garner-birth-card
Maya Rudolph,1972-07-27,A♣,609002,maya-rudolph-birth-card
Brahim Díaz,1999-08-03,10♦,606797,brahim-díaz-birth-card
