name|birth_year|birth_month|birth_day|enwiki_views_8mo
Youri Tielemans|1997|5|7|650145
Chelsea Handler|1975|2|25|650125
Warren Jeffs|1955|12|3|649563
Afroman|1974|7|28|646936
Mary Shelley|1797|8|30|646908
Vivian Wilson|2004|4|15|645543
Ted Kaczynski|1942|5|22|644835
Stephen Eustáquio|1996|12|21|644159
Muammar Gaddafi|1942|6|19|643434
Granit Xhaka|1992|9|27|641937
Joe Keery|1992|4|24|639232
N'Golo Kanté|1991|3|29|637829
Renate Reinsve|1987|11|24|635510
Stellan Skarsgård|1951|6|13|635079
Bam Adebayo|1997|7|18|633699
Marty Reisman|1930|2|1|633532
Peabo Bryson|1951|4|13|632061
Andrés Escobar|1967|3|13|630903
Winona Ryder|1971|10|29|630614
Tomer Capone|1985|7|15|630583
David Hockney|1937|7|9|629950
Emma Thompson|1959|4|15|628684
Unai Simón|1997|6|11|627594
Ethan Slater|1992|6|2|627145
Pauline Collins|1940|9|3|624824
Luis Enrique|1970|5|8|621993
Christina Applegate|1971|11|25|621610
CM Punk|1978|10|26|621213
Ethel Kennedy|1928|4|11|620911
Kaká|1982|4|22|620910
Jesse Marsch|1973|11|8|620776
Benjamin Guinness|1798|11|1|619786
John Fetterman|1969|8|15|618217
Nikki Glaser|1984|6|1|617638
Jordan Pickford|1994|3|7|617542
Kristen Bell|1980|7|18|617148
Charles Sobhraj|1944|4|6|616675
Benson Boone|2002|6|25|616366
Guillermo Ochoa|1985|7|13|615043
Brenda Song|1988|3|27|614950
Richard Attenborough|1923|8|29|614861
Harlan Coben|1962|1|4|614763
Ana de Armas|1988|4|30|614733
Clayton Kershaw|1988|3|19|614266
Shah Rukh Khan|1965|11|2|613339
Kalyani Priyadarshan|1992|4|5|612784
Francesca Hong|1988|11|4|612460
Richard Gere|1949|8|31|612326
Franco Baresi|1960|5|8|611712
Julia Garner|1994|2|1|611143
Maya Rudolph|1972|7|27|609002
Brahim Díaz|1999|8|3|606797
Ella Rubin|2001|9|2|606489
Mike Vrabel|1975|8|14|606238
Kevin Warsh|1970|4|13|606059
Ludwig Göransson|1984|9|1|605015
Karolína Muchová|1996|8|21|603857
Jennifer Jason Leigh|1962|2|5|603404
Landon Donovan|1982|3|4|603231
Haley Stevens|1983|6|24|602879
Emily Rudd|1993|2|24|600979
Charlie Hunnam|1980|4|10|598019
Ajay Ahuja|1964|5|22|598008
Scottie Scheffler|1996|6|21|597991
Justin Rose|1980|7|30|592967
Eric Adams|1960|9|1|592810
Megyn Kelly|1970|11|18|590923
Edward Guinness, 1st Earl of Iveagh|1847|11|10|590687
Matthias Jaissle|1988|4|5|590504
Whitney Houston|1963|8|9|590389
Jacob Batalon|1996|10|9|589083
Khabib Nurmagomedov|1988|9|20|588233
Sarah Pidgeon|1996|7|7|587928
Dean Potter|1972|4|14|587888
Fred Trump|1905|10|11|587877
Aldon Smith|1989|9|25|587236
Khamzat Chimaev|1994|5|1|586877
Delta Goodrem|1984|11|9|586855
Law Roach|1978|7|20|586766
Rob Reiner|1947|3|6|585806
Chris Cornell|1964|7|20|585142
Odessa A'zion|2000|6|17|584690
Yungblud|1997|8|5|584593
Ivanka Trump|1981|10|30|584477
PinkPantheress|2001|4|19|583585
Charlie Chaplin|1889|4|16|581268
Andrea Yates|1964|7|2|581199
Ryan Fox|1987|1|22|580871
Nancy Mace|1977|12|4|580543
Madeleine Stowe|1958|8|18|580217
Edmund Kemper|1948|12|18|577932
Harmanpreet Kaur|1989|3|8|577678
Sheikh Hasina|1947|9|28|577567
Jason Collins|1978|12|2|576926
Charli XCX|1992|8|2|575218
Amanda Seyfried|1985|12|3|574660
Colin Jost|1982|6|29|573496
Brenda Fricker|1945|2|17|569084
Bonnie Blue|1999|5|14|568940
Sam Levinson|1985|1|8|568880
Jessica Pegula|1994|2|24|568101
Yami Gautam|1988|11|28|567772
Robin Wright|1966|4|8|567490
Maduka Okoye|1999|8|28|566999
Max Holloway|1991|12|4|566987
Josh Heuston|1996|11|18|566902
Haakon VIII|1973|7|20|566748
Antoine Semenyo|2000|1|7|565991
Mary, Queen of Scots|1542|12|8|565474
Marisa Tomei|1964|12|4|565439
Stephen Hawking|1942|1|8|562499
Martin Scorsese|1942|11|17|561300
Alan Greenspan|1926|3|6|560929
Javier Hernández|1988|6|1|560711
Pete Davidson|1993|11|16|559356
Jamie Bell|1986|3|14|558039
Aymeric Laporte|1994|5|27|557641
Josh Duhamel|1972|11|14|557170
Rosalía|1992|9|25|557000
Benito Mussolini|1883|7|29|556884
Tim Ream|1987|10|5|556572
Mark Bellingham|1976|3|7|556456
Jonathan David|2000|1|14|554924
Ørjan Nyland|1990|9|10|554841
Elizabeth Olsen|1989|2|16|554375
Philip Seymour Hoffman|1967|7|23|553119
Michael Hutchence|1960|1|22|552809
Ezri Konsa|1997|10|23|552748
Riz Ahmed|1982|12|1|551383
Monica Witt|1979|4|8|551088
Roscoe Conkling|1829|10|30|549468
Stella Parton|1949|5|4|548873
Ivana Trump|1949|2|20|548631
Amy Redford|1970|10|22|545805
Ron Harper|1964|1|20|545353
Dani Olmo|1998|5|7|544931
Nabil Gabol|1962|11|16|544645
Nicki Nicole|2000|8|25|543739
Ben Sasse|1972|2|22|543237
Ben Shapiro|1984|1|15|541494
Randolph Mantooth|1945|9|19|540974
Jessica Alba|1981|4|28|540947
Nicolás Maduro|1962|11|23|540494
C. P. Radhakrishnan|1957|5|4|540206
Amy Hunt|2002|5|15|539953
Woody Harrelson|1961|7|23|539795
Andrey Santos|2004|5|3|537098
George Michael|1963|6|25|536282
Daniel Craig|1968|3|2|533138
Catherine Zeta-Jones|1969|9|25|532192
Paddy Pimblett|1995|1|3|531313
Brooke Mueller|1977|8|19|529156
George Harrison|1943|2|25|528305
Matt Smith|1982|10|28|528190
Ringo Starr|1940|7|7|527936
James Franco|1978|4|19|527155
Giovanni Reyna|2002|11|13|526686
Ben Roberts-Smith|1978|11|1|526399
Theo Von|1980|3|19|526062
Christian Bale|1974|1|30|525810
Rupert Lowe|1957|10|31|525718
Julie Andrews|1935|10|1|525644
Jamie Campbell Bower|1988|11|22|525394
Travis Barker|1975|11|14|525393
Huw Edwards|1961|8|18|524390
Prince Philip, Duke of Edinburgh|1921|6|10|523406
Todd Blanche|1974|8|6|520289
Morgan Freeman|1937|6|1|518179
Audrey Hepburn|1929|5|4|515058
Charlotte of Mecklenburg-Strelitz|1744|5|19|514216
Diana Ross|1944|3|26|514121
S. Venkitaramanan|1931|1|28|512897
Lena Waithe|1984|5|17|512128
Mikel Merino|1996|6|22|511852
David Wilcock|1973|3|8|511820
Dennis Quaid|1954|4|9|511582
Meg White|1974|12|10|509464
Tilak Varma|2002|11|8|507773
Paul Anthony Kelly|1988|10|1|506119
Brigitte Macron|1953|4|13|505859
Emma Myers|2002|4|2|505602
Kelly Preston|1962|10|13|505466
Kaley Cuoco|1985|11|30|505163
Lauren Betts|2003|10|15|504885
Betty Broderick|1947|11|7|504796
Jürgen Klopp|1967|6|16|504585
Abhishek Sharma|2000|9|4|503681
Morgan Rogers|2002|7|26|503589
Brian Madjo|2009|1|12|502532
Chloë Grace Moretz|1997|2|10|502378
Tom Kane|1962|4|15|502118
Jack Osbourne|1985|11|8|502088
Jackson Koivun|2005|5|23|501428
Igor Tudor|1978|4|16|500056
Channing Tatum|1980|4|26|499467
Phoebe Bridgers|1994|8|17|498508
George Clooney|1961|5|6|496296
Neil Sedaka|1939|3|13|495403
Hugh Dancy|1975|6|19|495193
Richard Branson|1950|7|18|493615
Matt Prater|1984|8|10|493012
Lizzie Borden|1860|7|19|492554
Kajal Aggarwal|1985|6|19|491506
Beau Garrett|1982|12|28|491025
Bill Belichick|1952|4|16|490584
Flavio Cobolli|2002|5|6|486566
Neil Armstrong|1930|8|5|486406
Kenny Rogers|1938|8|21|486231
Nancy Pelosi|1940|3|26|484271
Ilhan Omar|1982|10|4|482329
Charles De Ketelaere|2001|3|10|480772
Maggie Gyllenhaal|1977|11|16|479951
Miroslav Klose|1978|6|9|479326
Destin Daniel Cretton|1978|11|23|479312
Thibaut Courtois|1992|5|11|478827
Gianluigi Donnarumma|1999|2|25|478656
Angryginge|2001|11|13|477955
Janet Sheen|1944|7|8|477779
Max Scherzer|1984|7|27|476572
Bill Oddie|1941|7|7|476260
Rose Byrne|1979|7|24|475750
Son Heung-min|1992|7|8|475541
Ruby Rose|1986|3|20|475533
Murat Yakin|1974|9|15|474796
Russell Wilson|1988|11|29|474626
Parvati Shallow|1982|9|21|474540
Royce White|1991|4|10|474450
Maithili Thakur|2000|7|25|474015
Dan Burn|1992|5|9|472511
Jesse Jackson|1941|10|8|471896
James Watson|1928|4|6|471578
Pervez Musharraf|1943|8|11|471548
Robo Shankar|1958|12|24|470513
Calista Flockhart|1964|11|11|468430
James Comey|1960|12|14|468289
Giuliano Simeone|2002|12|18|468205
Lina Medina|1933|9|23|467759
Drake Maye|2002|8|30|467454
Jemimah Rodrigues|2000|9|5|467387
Nina Dobrev|1989|1|9|467296
Rico Verhoeven|1989|4|10|466655
Udo Kier|1944|10|14|466580
Tom Stoppard|1937|7|3|465781
Penelope Keith|1940|4|2|463481
Lata Mangeshkar|1929|9|28|462730
Mackenyu|1996|11|16|461945
Bobby Cannavale|1970|5|3|461362
Hilaria Baldwin|1984|1|6|458969
Paul Newman|1925|1|26|458962
Ratko Mladić|1943|3|12|458927
Vinod Khosla|1955|1|28|458083
Tejashwi Yadav|1988|11|9|457374
Alphonso Davies|2000|11|2|456123
Tom Pelphrey|1982|7|28|456117
Mamitha Baiju|2001|6|22|454542
Agnez Mo|1986|7|1|453941
Kaia Gerber|2001|9|3|453246
Aaron Hernandez|1989|11|6|452429
Lalu Prasad Yadav|1948|6|11|452180
Jeff Goldblum|1952|10|22|452013
Aneet Padda|2002|10|13|450277
Tadej Pogačar|1998|9|21|450248
George Floyd|1973|10|14|448900
Billy Crudup|1968|7|8|448642
Brett James|1968|6|5|447716
Ulysses S. Grant|1822|4|27|447074
Arvid Lindblad|2007|8|8|446829
Matthew Dowd|1961|5|29|446690
Aamir Khan|1965|3|14|446569
Vince Gilligan|1967|2|10|446170
Taylor Momsen|1993|7|26|445738
Savannah Guthrie|1971|12|27|444840
Ken Paxton|1962|12|23|444752
Mick Jagger|1943|7|26|443465
James Harden|1989|8|26|443423
Arslanbek Makhmudov|1989|6|7|443343
Claudia Cardinale|1938|4|15|442392
Pedro Porro|1999|9|13|441847
Richard Simmons|1948|7|12|441385
Anthony Hopkins|1937|12|31|441038
Martin Luther King Jr.|1929|1|15|439710
Karen Carpenter|1950|3|2|439638
Randy Parton|1953|12|15|437516
Christian Eriksen|1992|2|14|437226
Tyler James Robinson|2003|4|16|435624
Kim Mu-yeol|1982|5|22|435011
Fernando Mendoza|2003|10|1|434602
Yayoi Kusama|1929|3|22|434288
Mark Kelly|1964|2|21|433364
Frankie Muniz|1985|12|5|433163
Arielle Kebbel|1985|2|19|433148
Jasprit Bumrah|1993|12|6|432581
Ismaël Koné|2002|6|16|431680
Bill Pullman|1953|12|17|431608
Jack Della Maddalena|1996|9|10|430659
Evie Templeton|2008|12|31|427825
Lee Chae-min|2000|9|15|427219
Unai Emery|1971|11|3|426617
Vijay Deverakonda|1989|5|9|426348
Ted Danson|1947|12|29|426301
Mithali Raj|1982|12|3|424276
Carmelo Anthony|1984|5|29|424274
Sunny Deol|1956|10|19|424260
Carlos Queiroz|1953|3|1|424238
Teja Sajja|1995|8|23|423529
Hailey Bieber|1996|11|22|422967
Gavin Casalegno|1999|9|2|422850
Peter Sarsgaard|1971|3|7|422627
Kuku Kohli|1949|6|4|421681
Coco Gauff|2004|3|13|421126
Dolores Huerta|1930|4|10|420685
Tim Cook|1960|11|1|420113
Corey Haim|1971|12|23|419960
John Alderton|1940|11|27|419572
Dick Advocaat|1947|9|27|418297
Douglas Kelley|1912|8|11|417806
Richard Speck|1941|12|6|417564
Kyle Chandler|1965|9|17|417535
Todd Snider|1966|10|11|417441
Rodrigo De Paul|1994|5|24|416084
Charithra Chandran|1997|1|17|415092
Emma Raducanu|2002|11|13|414490
Scott Pelley|1957|7|28|414406
JRD Tata|1904|7|29|414225
Joan Cusack|1962|10|11|414194
John Healey|1960|2|13|414170
Francesco Schettino|1960|11|14|413624
Crysencio Summerville|2001|10|30|413174
Dusty May|1976|12|30|413148
Isaac Newton|1642|12|25|412966
Josh O'Connor|1990|5|20|411968
Bari Weiss|1984|3|25|410246
Sam Elliott|1944|8|9|409294
Yu Menglong|1988|6|15|409051
Pierson Fodé|1991|11|6|408714
Alex Freeman|2004|8|9|408639
Kevin Hart|1979|7|6|408412
Virgil van Dijk|1991|7|8|408348
Cailee Spaeny|1998|7|24|408148
Randy Jackson|1956|6|23|407806
Victoria Swarovski|1993|8|16|407573
Gracie Abrams|1999|9|7|406688
Afrika Bambaataa|1957|4|17|406479
Tej Pratap Yadav|1986|4|9|404839
Sidny Lopes Cabral|2002|9|18|404078
Keira Knightley|1985|3|26|402897
Taylor Kitsch|1981|4|8|402784
Christoph Waltz|1956|10|4|401910
Michelle Dockery|1981|12|15|401908
Uma Thurman|1970|4|29|400794
Charles Melton|1991|1|4|400677
Jimmy Cliff|1944|7|30|400536
Jordan Staal|1988|9|10|400481
Felix Nmecha|2000|10|10|400450
Sepp Blatter|1936|3|10|399979
Bill Pulte|1988|5|28|399380
Nithya Raman|1981|7|28|398766
Julian Nagelsmann|1987|7|23|397263
Baker Mayfield|1995|3|14|396438
Matt Beard|1978|1|9|395837
Cameron Boozer|2007|7|18|395605
Max Dowman|2009|12|31|395556
Alicia Silverstone|1976|10|4|393543
Emily Head|1988|12|15|393153
Elijah Just|2000|5|1|392961
Lucretia Garfield|1832|4|19|392564
Reza Shah|1878|3|15|392557
Jarell Quansah|2003|1|29|392513
Javier Milei|1970|10|22|392493
Eve Hewson|1991|7|7|392019
Maxx Crosby|1997|8|22|392007
Miranda Cosgrove|1993|5|14|391669
Claudia Doumit|1992|4|21|391487
Laura Dern|1967|2|10|390642
Shona McGarty|1991|10|14|389650
Mikal Bridges|1996|8|30|389645
Oba Femi|1998|4|22|389327
Will Ferrell|1967|7|16|389025
Sunny Sandler|2008|11|2|388380
Victoria|1819|5|24|0
Franklin Delano Roosevelt|1882|1|30|0
Prince|1958|6|7|0
Carolyn Bessette-Kennedy|1966|1|7|0
Wade Wilson|1994|5|20|0
Henry VIII of England|1491|6|28|0
Leo XIV|1955|9|14|0
Clavicular|2005|12|17|0
Vaibhav Suryavanshi|2011|3|27|0
Virginia Roberts Giuffre|1983|8|9|0
Ronaldo|1976|9|22|0
Michael Johnston|1996|2|22|0
Marc Hagit Cucurella|1998|7|22|0
Anthony Gordon|2001|2|24|0
Mohammad Reza I of Iran|1919|10|26|0
Elizabeth I of England|1533|9|7|0
Mark Kerr|1968|12|21|0
Graham Greene|1952|6|22|0
Andrea Kimi Antonelli|2006|8|25|0
Mike Brown|1970|3|5|0
James Norton|1985|7|18|0
Randy Jackson|1961|10|29|0
Harald V of Norway|1937|2|21|0
Nick Robinson|1995|3|22|0
Prichard Colón jr|1992|9|19|0
Kim Jong-un|1984|1|8|0
Luis de la Fuente|1961|6|21|0
Mansoureh Khojaste Bagherzadeh|1947|5|23|0
James Redford|1962|5|5|0
Ian Garry|1997|11|17|0
Mohammed bin Salman Al Saud|1985|8|31|0
Balendra Shah|1990|4|27|0
Mohit Sharma|1978|1|13|0
Dara|1998|9|9|0
Bill Montgomery|1940|5|29|0
George III of Great Britain|1738|5|24|0
Ajit Kumar Chogle|1945|1|20|0
Chaudhry Aslam Khan|1963|4|10|0
Johan Bellingham|2005|9|23|0
Pradeep Rawat|1952|6|17|0
Atique Ahmed|1962|8|10|0
Luke Thompson|1988|7|4|0
Patrick Ball|1989|11|10|0
Víctor Muñoz|2003|7|13|0
Jose Alvarado|1998|4|12|0
Autumn Durald|1979|12|14|0
Nestor Irankunda|2006|2|9|0
Erik Sullivan|1991|7|12|0
Aitch|1999|12|9|0
Ramón Estévez|1963|8|7|0
Yash|1986|1|8|0
Rachel Dennison|1959|8|31|0
Gary Mounfield|1962|11|16|0
Bajrakitiyabha, Princess Rajasarinisiribajra|1978|12|7|0
Khadga Prasad Sharma Oli|1952|2|22|0
Tom Burke|1981|6|30|0
Anthony Stanislas Radziwill|1959|8|4|0
Alex Grant|1973|4|4|0
Nathaniel Brown|2003|6|16|0
Renée Estévez|1967|4|2|0
Charlie Murphy|1959|7|12|0
Dan Levy|1983|8|9|0
Michael Wright|1956|4|30|0
Slavko Vinčič|1979|11|25|0
Lucas Vignale|1997|9|23|0
Jack O'Connell|1990|8|1|0
Cameron Skattebo|2002|2|5|0
